F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
22,66,statement,data-flow,RewardCapLoop_M4,CR,13,,density_log,evaluated,RewardCapLoop,3,FALSE,TRUE,5,TRUE,TRUE,6,TRUE,TRUE
54,42,statement,data-flow,RewardCapLoop_M5,AOR,21,,density_log,evaluated,RewardCapLoop,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
66,20,statement,data-flow,RewardCapLoop_M6,RVR,29,,density_log,evaluated,RewardCapLoop,2,TRUE,TRUE,4,TRUE,TRUE,7,TRUE,TRUE
48,54,condition,control-flow,GappedSwapFive_M1,ROR,3,,density_log,evaluated,GappedSwapFive,4,TRUE,FALSE,8,TRUE,FALSE,12,TRUE,TRUE
60,6,condition,control-flow,GappedSwapFive_M2,ROR,18,,density_log,evaluated,GappedSwapFive,4,FALSE,FALSE,8,FALSE,TRUE,12,FALSE,TRUE
0,156,condition,control-flow,GappedSwapFive_M3,BOR,48,no_tbfv_failures,density_log,not_detected,GappedSwapFive,,,,,,,,,
0,90,statement,data-flow,GappedSwapFive_M4,SUR,5,no_tbfv_failures,density_log,not_detected,GappedSwapFive,,,,,,,,,
24,48,statement,data-flow,GappedSwapFive_M5,SUR,40,,density_log,evaluated,GappedSwapFive,4,TRUE,TRUE,8,TRUE,TRUE,10,TRUE,TRUE
0,120,statement,data-flow,GappedSwapFive_M6,RVR,53,no_tbfv_failures,density_log,not_detected,GappedSwapFive,,,,,,,,,
24,64,condition,control-flow,TailRotateSortFive_M1,CR,4,,density_log,evaluated,TailRotateSortFive,4,TRUE,FALSE,8,TRUE,FALSE,12,TRUE,TRUE
48,0,condition,control-flow,TailRotateSortFive_M2,ROR,5,,density_log,evaluated,TailRotateSortFive,2,FALSE,FALSE,4,TRUE,TRUE,8,TRUE,TRUE
48,0,condition,control-flow,TailRotateSortFive_M3,ROR,20,,density_log,evaluated,TailRotateSortFive,2,FALSE,FALSE,4,FALSE,FALSE,8,FALSE,TRUE
22,65,statement,data-flow,TailRotateSortFive_M4,SUR,7,,density_log,evaluated,TailRotateSortFive,4,TRUE,TRUE,8,TRUE,TRUE,12,TRUE,TRUE
